Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,150.03,2155.6,0.07,127.37,0.0
C++,111.42,1490.4,0.07,127.37,0.0
C#,159.59,2286.8,0.07,127.37,0.0
Rust,135.17,1882.0,0.07,127.37,0.0
Java,125.53,1695.8,0.07,127.37,0.0
