Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,493.74,6681.0,0.07,244.12,0.0
C++,768.5,12490.8,0.06,244.12,0.0
C#,464.67,6846.8,0.07,244.12,0.0
Rust,485.84,6604.6,0.07,244.12,0.0
Java,480.77,6609.6,0.07,244.12,0.0
