Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,84.45,2450.2,0.03,0.0,0.0
C++,84.98,2469.6,0.03,0.0,0.0
C#,86.7,2422.6,0.04,0.0,0.0
Rust,87.21,2416.0,0.04,0.0,0.0
Java,106.95,2936.6,0.04,0.0,0.0
