Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,52.39,502.8,0.1,32.0,0.0
C++,32.57,288.2,0.11,32.0,0.0
C#,169.9,2403.6,0.07,32.0,0.0
Rust,83.8,1087.4,0.08,32.0,0.0
Java,109.62,1484.6,0.07,32.0,0.0
