Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,545.12,8192.83,0.07,12.23,0.0
C++,528.26,7947.17,0.07,12.23,0.0
C#,577.9,8670.17,0.07,12.23,0.0
Rust,504.85,7576.33,0.07,12.23,0.0
Java,473.29,7089.67,0.07,12.23,0.0
