Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,85.08,2466.83,0.03,0.0,0.0
C++,84.78,2476.33,0.03,0.0,0.0
C#,86.12,2435.33,0.04,0.0,0.0
Rust,88.47,2439.17,0.04,0.0,0.0
Java,161.15,4685.33,0.03,0.0,0.0
