Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,352.6,9168.84,0.04,12.23,0.0
C++,306.53,8961.1,0.03,12.23,0.0
C#,363.62,9893.19,0.04,12.23,0.0
Rust,310.59,9149.97,0.03,12.23,0.0
Java,294.18,8328.48,0.04,12.23,0.0
