Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,11.8,224.5,0.05,2.37,0.0
C++,7.37,141.67,0.05,2.37,0.0
C#,19.82,370.0,0.05,2.37,0.0
Rust,18.64,318.33,0.06,2.37,0.0
Java,22.89,542.83,0.04,2.37,0.0
