Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,36.11,876.0,0.04,131.25,0.0
C++,36.21,887.17,0.04,131.25,0.0
C#,308.44,11894.5,0.03,131.25,0.0
Rust,40.41,765.0,0.05,131.25,0.0
Java,87.06,1702.5,0.05,131.25,0.0
