Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
1592.365889,103950000,890000,49.6666666666667,1.592365889,103.95,0.89,596
1626.025906,106190000,910000,51.1666666666667,1.626025906,106.19,0.91,614
1597.502403,104380000,890000,50.3333333333333,1.597502403,104.38,0.89,604
1597.488761,104300000,890000,49.6666666666667,1.597488761,104.3,0.89,596
1616.640074,105620000,900000,49.5,1.616640074,105.62,0.9,594
1597.339991,104310000,890000,50.5,1.597339991,104.31,0.89,606
1606.699073,104980000,900000,48.9166666666667,1.606699073,104.98,0.9,587
1603.102329,104680000,900000,50.3333333333333,1.603102329,104.68,0.9,604
1598.672378,104360000,890000,50.1666666666667,1.598672378,104.36,0.89,602
1611.074894,105300000,900000,48.9166666666667,1.611074894,105.3,0.9,587
1610.912191,105180000,900000,49.3333333333333,1.610912191,105.18,0.9,592
1595.545714,104120000,890000,49.0833333333333,1.595545714,104.12,0.89,589
1601.218507,104530000,900000,49.6666666666667,1.601218507,104.53,0.9,596
1604.324752,104800000,900000,49.1666666666667,1.604324752,104.8,0.9,590
1620.539817,105900000,910000,50.1666666666667,1.620539817,105.9,0.91,602
1600.579493,104530000,900000,49.9166666666667,1.600579493,104.53,0.9,599
1600.117187,104510000,900000,49.8333333333333,1.600117187,104.51,0.9,598
1597.208697,104250000,890000,50.3333333333333,1.597208697,104.25,0.89,604
1593.25902,104080000,890000,49.3333333333333,1.59325902,104.08,0.89,592
1596.489453,104270000,890000,50.3333333333333,1.596489453,104.27,0.89,604
1614.456609,105510000,910000,51.75,1.614456609,105.51,0.91,621
1616.87869,105700000,910000,50,1.61687869,105.7,0.91,600
1600.181206,104500000,900000,49.3333333333333,1.600181206,104.5,0.9,592
1596.736766,104220000,890000,49.1666666666667,1.596736766,104.22,0.89,590
1607.794788,105010000,900000,49.0833333333333,1.607794788,105.01,0.9,589
1607.959669,105030000,900000,49.1666666666667,1.607959669,105.03,0.9,590
1608.240598,105040000,900000,49.8333333333333,1.608240598,105.04,0.9,598
1615.48548,105510000,900000,49.6666666666667,1.61548548,105.51,0.9,596
1600.093716,104430000,900000,50.1666666666667,1.600093716,104.43,0.9,602
1611.556626,105300000,900000,49.8333333333333,1.611556626,105.3,0.9,598
1603.740727,104790000,900000,49.5833333333333,1.603740727,104.79,0.9,595
1603.764774,104640000,900000,49.1666666666667,1.603764774,104.64,0.9,590
1608.577749,105160000,900000,48.6666666666667,1.608577749,105.16,0.9,584
1603.349486,104700000,900000,48.9166666666667,1.603349486,104.7,0.9,587
1607.578488,104900000,900000,49,1.607578488,104.9,0.9,588
1604.204003,104830000,900000,49.8333333333333,1.604204003,104.83,0.9,598
1634.256681,106860000,920000,50.0833333333333,1.634256681,106.86,0.92,601
1608.770375,105090000,900000,49.3333333333333,1.608770375,105.09,0.9,592
1599.194544,104370000,900000,50.75,1.599194544,104.37,0.9,609
1607.593075,105090000,900000,49.3333333333333,1.607593075,105.09,0.9,592
1598.659167,104360000,890000,49.75,1.598659167,104.36,0.89,597
1592.778895,104070000,890000,49.25,1.592778895,104.07,0.89,591
1605.730355,104870000,900000,49.5,1.605730355,104.87,0.9,594
1606.901483,104890000,900000,48.8333333333333,1.606901483,104.89,0.9,586
1596.062639,104220000,890000,49,1.596062639,104.22,0.89,588
1609.317323,105070000,900000,49.5833333333333,1.609317323,105.07,0.9,595
1605.010898,104830000,900000,49.3333333333333,1.605010898,104.83,0.9,592
1595.057075,104140000,890000,49.6666666666667,1.595057075,104.14,0.89,596
1595.149574,104190000,890000,50,1.595149574,104.19,0.89,600
1615.78997,105540000,900000,49.4166666666667,1.61578997,105.54,0.9,593
1602.552967,104620000,900000,49.5,1.602552967,104.62,0.9,594
1606.711394,104970000,900000,49.1666666666667,1.606711394,104.97,0.9,590
1594.232759,104140000,890000,49.5,1.594232759,104.14,0.89,594
1611.881995,105320000,900000,50,1.611881995,105.32,0.9,600
1617.787873,105700000,910000,50.1666666666667,1.617787873,105.7,0.91,602
1604.609813,104800000,900000,50.25,1.604609813,104.8,0.9,603
1606.388478,104920000,900000,49.75,1.606388478,104.92,0.9,597
1622.110988,106020000,910000,49,1.622110988,106.02,0.91,588
1597.209981,104260000,890000,49.1666666666667,1.597209981,104.26,0.89,590
1597.932862,104370000,890000,49.3333333333333,1.597932862,104.37,0.89,592
1594.860647,104110000,890000,49.6666666666667,1.594860647,104.11,0.89,596
1603.818763,104760000,900000,50.3333333333333,1.603818763,104.76,0.9,604
1605.782007,104820000,900000,49.3333333333333,1.605782007,104.82,0.9,592
1598.479015,104430000,890000,49.5,1.598479015,104.43,0.89,594
1592.904919,104120000,890000,48.5833333333333,1.592904919,104.12,0.89,583
1597.860317,104260000,890000,49.9166666666667,1.597860317,104.26,0.89,599
1613.383656,105430000,900000,49.5,1.613383656,105.43,0.9,594
1601.651622,104670000,900000,50.1666666666667,1.601651622,104.67,0.9,602
1612.949895,105380000,900000,50.1666666666667,1.612949895,105.38,0.9,602
1612.87529,105340000,900000,49.75,1.61287529,105.34,0.9,597
1616.9953,105650000,900000,49.6666666666667,1.6169953,105.65,0.9,596
1606.88648,104890000,900000,49.8333333333333,1.60688648,104.89,0.9,598
1600.816853,104520000,900000,49.6666666666667,1.600816853,104.52,0.9,596
1601.349106,104550000,900000,49.9166666666667,1.601349106,104.55,0.9,599
1613.41629,105430000,900000,49.5,1.61341629,105.43,0.9,594
1612.857923,105130000,910000,50.3333333333333,1.612857923,105.13,0.91,604
1609.97828,105320000,900000,49.5833333333333,1.60997828,105.32,0.9,595
1608.746185,105040000,900000,49,1.608746185,105.04,0.9,588
1597.029989,104250000,890000,49.5,1.597029989,104.25,0.89,594
1616.315157,105630000,900000,50.3333333333333,1.616315157,105.63,0.9,604
1633.727982,106710000,910000,48.6666666666667,1.633727982,106.71,0.91,584
1606.91272,104960000,900000,49,1.60691272,104.96,0.9,588
1607.913983,104990000,900000,49,1.607913983,104.99,0.9,588
1617.187281,105680000,910000,49.1666666666667,1.617187281,105.68,0.91,590
1598.969492,104550000,890000,48.5,1.598969492,104.55,0.89,582
1602.650047,104490000,900000,49.5,1.602650047,104.49,0.9,594
1595.639857,104180000,890000,49.1666666666667,1.595639857,104.18,0.89,590
1620.244291,105800000,910000,48.8333333333333,1.620244291,105.8,0.91,586
1621.795019,106010000,910000,49.5,1.621795019,106.01,0.91,594
1619.226854,105740000,910000,50,1.619226854,105.74,0.91,600
1614.799921,105490000,900000,49.8333333333333,1.614799921,105.49,0.9,598
1623.075772,106020000,910000,49.3333333333333,1.623075772,106.02,0.91,592
1593.92567,104020000,890000,49.5,1.59392567,104.02,0.89,594
1626.240589,106360000,910000,50.3333333333333,1.626240589,106.36,0.91,604
1608.278456,105030000,910000,49.5833333333333,1.608278456,105.03,0.91,595
1592.580086,103940000,890000,50.5,1.592580086,103.94,0.89,606
1636.171552,106950000,920000,49.4166666666667,1.636171552,106.95,0.92,593
1594.401651,104040000,890000,48.8333333333333,1.594401651,104.04,0.89,586
1595.644023,104170000,890000,49.5,1.595644023,104.17,0.89,594
1624.811586,106240000,910000,49.25,1.624811586,106.24,0.91,591
1596.01219,104200000,890000,49.8333333333333,1.59601219,104.2,0.89,598
1636.927326,106900000,920000,49.5833333333333,1.636927326,106.9,0.92,595
1613.793826,105400000,900000,49,1.613793826,105.4,0.9,588
1604.294423,104800000,900000,49.1666666666667,1.604294423,104.8,0.9,590
1610.396786,105220000,900000,49.3333333333333,1.610396786,105.22,0.9,592
1623.056162,106030000,910000,49.3333333333333,1.623056162,106.03,0.91,592
1604.748287,104810000,900000,48.8333333333333,1.604748287,104.81,0.9,586
1612.849261,105300000,900000,49.5,1.612849261,105.3,0.9,594
1615.644031,105520000,900000,49.8333333333333,1.615644031,105.52,0.9,598
1614.054316,105370000,900000,49.3333333333333,1.614054316,105.37,0.9,592
1609.961579,105270000,900000,48.8333333333333,1.609961579,105.27,0.9,586
1620.430576,105690000,910000,49.75,1.620430576,105.69,0.91,597
1611.850413,105310000,910000,49.75,1.611850413,105.31,0.91,597
1597.032101,104240000,890000,48.8333333333333,1.597032101,104.24,0.89,586
1602.333089,104660000,900000,49,1.602333089,104.66,0.9,588
1610.202678,105200000,900000,49.4166666666667,1.610202678,105.2,0.9,593
1597.671953,104320000,890000,49.1666666666667,1.597671953,104.32,0.89,590
1609.929977,105150000,900000,49.4166666666667,1.609929977,105.15,0.9,593
1604.406275,104790000,900000,48.9166666666667,1.604406275,104.79,0.9,587
1601.316766,104480000,900000,49.1666666666667,1.601316766,104.48,0.9,590
1616.800008,105740000,900000,49.3333333333333,1.616800008,105.74,0.9,592
1600.157701,104470000,900000,49,1.600157701,104.47,0.9,588
1604.46405,104760000,900000,49.4166666666667,1.60446405,104.76,0.9,593
1603.087909,104750000,900000,49.25,1.603087909,104.75,0.9,591
1620.871148,105870000,910000,49.1666666666667,1.620871148,105.87,0.91,590
1601.677105,104590000,900000,48.3333333333333,1.601677105,104.59,0.9,580
1633.674716,106780000,910000,49.8333333333333,1.633674716,106.78,0.91,598
1608.844999,105100000,900000,49.5833333333333,1.608844999,105.1,0.9,595
1613.430507,105390000,900000,49.6666666666667,1.613430507,105.39,0.9,596
1608.162359,104960000,900000,49.5833333333333,1.608162359,104.96,0.9,595
1602.87014,104680000,900000,49.75,1.60287014,104.68,0.9,597
1605.307201,104860000,900000,49.6666666666667,1.605307201,104.86,0.9,596
1604.390826,104760000,900000,49.1666666666667,1.604390826,104.76,0.9,590
1602.850842,104720000,900000,49.8333333333333,1.602850842,104.72,0.9,598
1588.830033,103710000,890000,50.1666666666667,1.588830033,103.71,0.89,602
1602.752084,104790000,900000,49.1666666666667,1.602752084,104.79,0.9,590
1628.803568,106380000,910000,48.9166666666667,1.628803568,106.38,0.91,587
1614.89268,105440000,900000,48.6666666666667,1.61489268,105.44,0.9,584
1606.953028,104960000,900000,49.25,1.606953028,104.96,0.9,591
1596.209486,104170000,890000,49.3333333333333,1.596209486,104.17,0.89,592
1594.82627,104090000,890000,49.5,1.59482627,104.09,0.89,594
1615.770111,105650000,900000,48.6666666666667,1.615770111,105.65,0.9,584
1608.25208,105020000,900000,50,1.60825208,105.02,0.9,600
1591.022956,103890000,890000,49.8333333333333,1.591022956,103.89,0.89,598
1606.701908,104880000,900000,49.0833333333333,1.606701908,104.88,0.9,589
1597.232522,104270000,890000,49.3333333333333,1.597232522,104.27,0.89,592
1598.359361,104440000,890000,49.5,1.598359361,104.44,0.89,594
1606.150952,104920000,900000,49.8333333333333,1.606150952,104.92,0.9,598
1601.854008,104610000,900000,49.6666666666667,1.601854008,104.61,0.9,596
1597.242658,104250000,900000,50.0833333333333,1.597242658,104.25,0.9,601
1608.766139,105070000,900000,48.6666666666667,1.608766139,105.07,0.9,584
1598.380619,104400000,900000,49.25,1.598380619,104.4,0.9,591
1599.846591,104470000,900000,48.6666666666667,1.599846591,104.47,0.9,584
1606.377949,105050000,900000,49.1666666666667,1.606377949,105.05,0.9,590
1606.881957,104900000,900000,49.75,1.606881957,104.9,0.9,597
1592.939401,103980000,890000,50.0833333333333,1.592939401,103.98,0.89,601
1599.686179,104560000,900000,49,1.599686179,104.56,0.9,588
1609.98265,105100000,900000,48.6666666666667,1.60998265,105.1,0.9,584
1594.424055,104160000,890000,49.4166666666667,1.594424055,104.16,0.89,593
1615.381273,105480000,900000,49,1.615381273,105.48,0.9,588
1597.305497,104280000,890000,48.5,1.597305497,104.28,0.89,582
1599.763533,104540000,900000,49.8333333333333,1.599763533,104.54,0.9,598
1601.340917,104560000,900000,48.5,1.601340917,104.56,0.9,582
1604.038406,104730000,900000,48.25,1.604038406,104.73,0.9,579
1607.902004,105050000,900000,48.6666666666667,1.607902004,105.05,0.9,584
1592.893698,104010000,890000,48,1.592893698,104.01,0.89,576
1597.042702,104340000,890000,48.8333333333333,1.597042702,104.34,0.89,586
1608.946709,104840000,910000,51.5,1.608946709,104.84,0.91,618
1610.255309,105510000,900000,49.6666666666667,1.610255309,105.51,0.9,596
1614.798023,105510000,900000,48.8333333333333,1.614798023,105.51,0.9,586
1601.178142,104590000,900000,49,1.601178142,104.59,0.9,588
1602.03141,104620000,900000,49.1666666666667,1.60203141,104.62,0.9,590
1613.14641,105350000,900000,49.5833333333333,1.61314641,105.35,0.9,595
1608.363613,105040000,900000,49.1666666666667,1.608363613,105.04,0.9,590
1603.049291,104750000,900000,49.5,1.603049291,104.75,0.9,594
1600.61148,104460000,900000,49.8333333333333,1.60061148,104.46,0.9,598
1609.33132,105180000,900000,50.6666666666667,1.60933132,105.18,0.9,608
1613.789637,105430000,900000,49.1666666666667,1.613789637,105.43,0.9,590
1610.898068,105180000,900000,49.3333333333333,1.610898068,105.18,0.9,592
1604.541106,104790000,900000,49.1666666666667,1.604541106,104.79,0.9,590
1607.393504,105090000,900000,49,1.607393504,105.09,0.9,588
1599.018704,104300000,890000,49.6666666666667,1.599018704,104.3,0.89,596
1625.848089,106260000,910000,49.5833333333333,1.625848089,106.26,0.91,595
1610.547981,105260000,900000,49.3333333333333,1.610547981,105.26,0.9,592
1615.295389,105500000,900000,49.1666666666667,1.615295389,105.5,0.9,590
1608.22141,104990000,900000,49.6666666666667,1.60822141,104.99,0.9,596
1672.386183,108640000,940000,51.5,1.672386183,108.64,0.94,618
1601.813313,105290000,900000,49.3333333333333,1.601813313,105.29,0.9,592
1622.653513,106010000,910000,48.9166666666667,1.622653513,106.01,0.91,587
1616.360182,105520000,900000,49,1.616360182,105.52,0.9,588
1608.50168,105040000,900000,48.6666666666667,1.60850168,105.04,0.9,584
1611.740081,105300000,900000,49.3333333333333,1.611740081,105.3,0.9,592
1597.925571,104260000,890000,49.3333333333333,1.597925571,104.26,0.89,592
1602.793188,104650000,900000,49.8333333333333,1.602793188,104.65,0.9,598
1613.239925,105430000,900000,49.4166666666667,1.613239925,105.43,0.9,593
1606.634703,104900000,900000,49.8333333333333,1.606634703,104.9,0.9,598
1601.068826,104470000,900000,49.5,1.601068826,104.47,0.9,594
1607.505697,105070000,900000,49.5,1.607505697,105.07,0.9,594
1605.380226,104980000,900000,49.75,1.605380226,104.98,0.9,597
1611.274239,105300000,900000,48.8333333333333,1.611274239,105.3,0.9,586
1606.315766,104920000,900000,49.3333333333333,1.606315766,104.92,0.9,592
1616.149306,105450000,910000,48.1666666666667,1.616149306,105.45,0.91,578
1606.409201,104960000,900000,48.9166666666667,1.606409201,104.96,0.9,587
1595.667293,104080000,890000,49,1.595667293,104.08,0.89,588
1605.18369,104940000,900000,49.1666666666667,1.60518369,104.94,0.9,590
1612.851238,105270000,900000,49.5,1.612851238,105.27,0.9,594
1604.306293,104810000,900000,49.5,1.604306293,104.81,0.9,594
1616.483953,105620000,900000,49,1.616483953,105.62,0.9,588
1612.38225,105350000,900000,48.5,1.61238225,105.35,0.9,582
1596.875166,104240000,890000,49.6666666666667,1.596875166,104.24,0.89,596
1600.632957,104490000,900000,48.9166666666667,1.600632957,104.49,0.9,587
1601.966498,104680000,900000,49.6666666666667,1.601966498,104.68,0.9,596
1603.644405,104660000,900000,49.5,1.603644405,104.66,0.9,594
1606.820426,104980000,900000,48.9166666666667,1.606820426,104.98,0.9,587
1629.907466,106470000,910000,49,1.629907466,106.47,0.91,588
1600.111996,104470000,900000,48.8333333333333,1.600111996,104.47,0.9,586
1605.886845,104910000,900000,48.75,1.605886845,104.91,0.9,585
1607.750463,105060000,900000,47.4166666666667,1.607750463,105.06,0.9,569
1611.775603,105370000,900000,49.4166666666667,1.611775603,105.37,0.9,593
1601.171482,104530000,900000,49.6666666666667,1.601171482,104.53,0.9,596
1604.095797,104780000,900000,48,1.604095797,104.78,0.9,576
1606.711405,104880000,900000,49.5,1.606711405,104.88,0.9,594
1605.665897,104860000,900000,49.1666666666667,1.605665897,104.86,0.9,590
