Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,52.74,503.67,0.1,32.0,0.0
C++,32.84,288.17,0.11,32.0,0.0
C#,150.24,2125.83,0.07,32.0,0.0
Rust,89.99,1071.83,0.08,32.0,0.0
Java,112.76,1475.33,0.08,32.0,0.0
