Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,262.55,3050.17,0.09,1.87,0.0
C++,270.7,3177.33,0.09,1.87,0.0
C#,530.52,6649.5,0.08,1.87,0.0
Rust,256.18,3004.83,0.09,1.87,0.0
Java,398.06,4428.5,0.09,1.87,0.0
