Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,20.09,167.5,0.12,2.37,0.0
C++,12.4,105.5,0.12,2.37,0.0
C#,30.5,303.67,0.1,2.37,0.0
Rust,26.59,264.5,0.1,2.37,0.0
Java,37.35,408.33,0.09,2.37,0.0
