Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,54.24,695.5,0.08,131.25,0.0
C++,54.14,697.0,0.08,131.25,0.0
C#,433.86,9281.0,0.05,131.25,0.0
Rust,51.74,637.67,0.08,131.25,0.0
Java,157.07,1569.0,0.1,131.25,0.0
