Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB)
35.455078125000000000,24.981628417968750000,0.000000000000000000,0.531494140625000000,944.435,33.24
36.627990722656250000,26.063232421875000000,0.000000000000000000,0.536743164062500000,953.884,33.24
33.286254882812500000,24.042053222656250000,0.000000000000000000,0.471618652343750000,837.727,33.24
32.823242187500000000,23.592041015625000000,0.000000000000000000,0.471740722656250000,836.966,33.24
33.447204589843750000,24.076049804687500000,0.000000000000000000,0.477233886718750000,847.456,33.24
35.560302734375000000,25.642517089843750000,0.000000000000000000,0.505859375000000000,897.552,33.24
36.040222167968750000,25.684082031250000000,0.000000000000000000,0.526916503906250000,936.26,33.24
33.083557128906250000,23.883361816406250000,0.000000000000000000,0.468383789062500000,831.073,33.24
32.937744140625000000,23.744934082031250000,0.000000000000000000,0.468078613281250000,830.024,33.24
33.258300781250000000,24.041870117187500000,0.000000000000000000,0.468872070312500000,830.599,33.24
