Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB)
20.090576171875000000,14.395629882812500000,0.000000000000000000,0.286804199218750000,513.69,3.00
22.289611816406250000,15.888305664062500000,0.000000000000000000,0.323547363281250000,580.686,3.00
22.413818359375000000,16.023071289062500000,0.000000000000000000,0.322143554687500000,579.548,3.00
21.602172851562500000,15.479248046875000000,0.000000000000000000,0.307739257812500000,552.928,3.00
22.495971679687500000,16.051757812500000000,0.000000000000000000,0.323303222656250000,580.653,3.00
21.173278808593750000,15.199401855468750000,0.000000000000000000,0.301330566406250000,541.446,3.00
22.440917968750000000,15.995117187500000000,0.000000000000000000,0.323303222656250000,580.518,3.00
20.173583984375000000,14.509399414062500000,0.000000000000000000,0.285095214843750000,512.25,3.00
22.438537597656250000,16.001770019531250000,0.000000000000000000,0.323364257812500000,580.948,3.00
20.525573730468750000,14.774597167968750000,0.000000000000000000,0.288879394531250000,518.745,3.00
