Language,Energy (J),Time (ms),Ratio (J/ms)
C#,-8301.82,50439.93,-0.16
C#,-8301.82,50439.93,-0.16
C#,-8301.98,50433.38,-0.16
C#,-8624.85,50426.68,-0.17
C#,737.55,50434.79,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C,717.63,48628.83,0.01
C++,983.99,70473.72,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C#,737.34,50424.93,0.01
C,717.63,48628.83,0.01
C#,737.34,50424.93,0.01
C,717.63,48628.83,0.01
C#,737.34,50424.93,0.01
