Language,Energy (J),Time (ms),Ratio (J/ms)
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C,19.84,1368.21,0.01
C++,22.1,1600.34,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C#,26.75,1842.9,0.01
C,19.84,1368.21,0.01
C#,26.75,1842.9,0.01
C,19.84,1368.21,0.01
C#,26.75,1842.9,0.01
