Language,Energy (J),Time (ms),Ratio (J/ms)
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C,61.57,4275.28,0.01
C++,52.54,3643.72,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C#,251.74,17978.07,0.01
C,61.57,4275.28,0.01
C#,251.74,17978.07,0.01
C,61.57,4275.28,0.01
C#,251.74,17978.07,0.01
