Language,Energy (J),Time (ms),Ratio (J/ms)
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C,162.27,11180.9,0.01
C++,159.2,10717.0,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C#,242.61,16990.28,0.01
C,162.27,11180.9,0.01
C#,242.61,16990.28,0.01
C,162.27,11180.9,0.01
C#,242.61,16990.28,0.01
