Language,Energy (J),Time (ms),Ratio (J/ms)
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C,1.87,121.66,0.02
C++,0.31,19.45,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C#,3.59,237.03,0.02
C,1.87,121.66,0.02
C#,3.59,237.03,0.02
C,1.87,121.66,0.02
C#,3.59,237.03,0.02
