Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
588.31302,30150000,350000,34.5,0.58831302,30.15,0.35,414
580.450539,31220000,360000,45.3333333333333,0.580450539,31.22,0.36,544
584.980502,31320000,360000,55.9166666666667,0.584980502,31.32,0.36,671
563.2768,23020000,330000,18.9166666666667,0.5632768,23.02,0.33,227
556.128548,20360000,320000,29.5833333333333,0.556128548,20.36,0.32,355
575.123154,20940000,330000,19,0.575123154,20.94,0.33,228
594.139432,21630000,340000,19.3333333333333,0.594139432,21.63,0.34,232
596.969202,20990000,340000,19.1666666666667,0.596969202,20.99,0.34,230
568.335104,20840000,320000,19.25,0.568335104,20.84,0.32,231
585.085744,20560000,330000,29.3333333333333,0.585085744,20.56,0.33,352
624.725987,21650000,350000,29.6666666666667,0.624725987,21.65,0.35,356
596.618609,21080000,340000,19,0.596618609,21.08,0.34,228
614.731987,22240000,350000,29.25,0.614731987,22.24,0.35,351
644.862767,21120000,370000,24.5,0.644862767,21.12,0.37,294
586.072855,20930000,330000,34.9166666666667,0.586072855,20.93,0.33,419
666.525383,22630000,380000,29.8333333333333,0.666525383,22.63,0.38,358
575.252709,20570000,330000,24.25,0.575252709,20.57,0.33,291
577.021026,20430000,330000,30.3333333333333,0.577021026,20.43,0.33,364
577.744081,21120000,330000,23.3333333333333,0.577744081,21.12,0.33,280
566.855777,20510000,320000,29.3333333333333,0.566855777,20.51,0.32,352
588.218168,21100000,330000,19.5,0.588218168,21.1,0.33,234
573.431164,20960000,330000,18.5,0.573431164,20.96,0.33,222
560.553179,20610000,320000,19.1666666666667,0.560553179,20.61,0.32,230
614.502729,20850000,350000,29.1666666666667,0.614502729,20.85,0.35,350
600.017732,20850000,340000,29.6666666666667,0.600017732,20.85,0.34,356
629.910445,21790000,360000,18.6666666666667,0.629910445,21.79,0.36,224
597.744285,20790000,340000,18.25,0.597744285,20.79,0.34,219
552.088854,20660000,310000,29.0833333333333,0.552088854,20.66,0.31,349
607.32237,21710000,340000,18.6666666666667,0.60732237,21.71,0.34,224
623.155106,21150000,350000,18.6666666666667,0.623155106,21.15,0.35,224
591.11747,21170000,340000,29.1666666666667,0.59111747,21.17,0.34,350
574.667104,20660000,330000,29.3333333333333,0.574667104,20.66,0.33,352
605.997307,20850000,340000,29.1666666666667,0.605997307,20.85,0.34,350
618.717005,21130000,350000,18.5,0.618717005,21.13,0.35,222
573.863106,20900000,330000,39.8333333333333,0.573863106,20.9,0.33,478
586.485036,20450000,330000,18.5,0.586485036,20.45,0.33,222
595.377883,20270000,340000,29.5,0.595377883,20.27,0.34,354
645.995715,22360000,370000,29,0.645995715,22.36,0.37,348
596.227814,21470000,340000,29.4166666666667,0.596227814,21.47,0.34,353
692.465914,23360000,390000,24.4166666666667,0.692465914,23.36,0.39,293
602.491065,20930000,340000,34.4166666666667,0.602491065,20.93,0.34,413
602.102448,21390000,340000,17.9166666666667,0.602102448,21.39,0.34,215
589.344167,20730000,330000,28.6666666666667,0.589344167,20.73,0.33,344
586.301004,20820000,330000,29,0.586301004,20.82,0.33,348
583.94701,21440000,330000,34.1666666666667,0.58394701,21.44,0.33,410
593.050163,20790000,340000,28.75,0.593050163,20.79,0.34,345
593.674717,21110000,340000,18.1666666666667,0.593674717,21.11,0.34,218
584.093239,20680000,330000,29,0.584093239,20.68,0.33,348
592.799798,21460000,350000,34.25,0.592799798,21.46,0.35,411
573.060109,20280000,330000,18.3333333333333,0.573060109,20.28,0.33,220
590.229617,21090000,330000,29,0.590229617,21.09,0.33,348
575.122476,21140000,330000,28.6666666666667,0.575122476,21.14,0.33,344
608.568961,20910000,350000,28.3333333333333,0.608568961,20.91,0.35,340
574.328808,20190000,330000,29.5833333333333,0.574328808,20.19,0.33,355
566.597337,21010000,320000,29,0.566597337,21.01,0.32,348
563.973598,20260000,320000,39.8333333333333,0.563973598,20.26,0.32,478
596.270619,21180000,340000,39,0.596270619,21.18,0.34,468
553.470036,20510000,310000,28.8333333333333,0.553470036,20.51,0.31,346
628.571549,21380000,360000,49.6666666666667,0.628571549,21.38,0.36,596
608.940937,21550000,350000,28.3333333333333,0.608940937,21.55,0.35,340
592.182427,21110000,340000,39,0.592182427,21.11,0.34,468
594.04629,21140000,340000,28.6666666666667,0.59404629,21.14,0.34,344
615.271215,21280000,350000,28.5,0.615271215,21.28,0.35,342
635.142826,21350000,360000,39.3333333333333,0.635142826,21.35,0.36,472
583.240132,20800000,330000,28.6666666666667,0.583240132,20.8,0.33,344
577.982238,20960000,330000,28.3333333333333,0.577982238,20.96,0.33,340
590.096444,20820000,330000,28.6666666666667,0.590096444,20.82,0.33,344
581.364899,21310000,330000,39.8333333333333,0.581364899,21.31,0.33,478
588.530228,20910000,330000,28.0833333333333,0.588530228,20.91,0.33,337
