Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,85.21,1220.41,0.07,32.0,0.0
C++,70.47,1009.07,0.07,33.5,0.0
C#,185.52,2027.77,0.09,63.58,0.0
Rust,92.83,1171.31,0.08,33.75,0.0
Java,146.59,2166.32,0.07,87.23,0.0
