Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,583.61,8834.31,0.07,12.23,0.0
C++,529.55,7993.55,0.07,4.25,0.0
C#,0.03,0.64,0.04,40.74,0.0
Rust,531.39,7870.94,0.07,5.74,0.0
Java,518.5,7844.93,0.07,50.98,0.0
