Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,52.23,709.77,0.07,131.25,0.0
C++,56.12,694.97,0.08,132.5,0.0
C#,442.27,9213.16,0.05,1658.38,0.0
Rust,58.19,609.15,0.1,403.99,0.0
Java,164.25,1717.17,0.1,2433.12,0.0
