Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,131.68,1930.9,0.07,127.37,0.0
C++,108.87,1533.72,0.07,153.46,0.0
C#,0.03,0.67,0.04,181.91,0.0
Rust,162.22,2358.3,0.07,133.49,0.0
Java,167.08,2466.32,0.07,371.89,0.0
