Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,48.57,706.91,0.07,148.5,0.0
C++,371.61,7961.63,0.05,212.35,0.0
C#,401.12,5419.58,0.07,788.17,0.0
Rust,37.17,870.35,0.04,150.45,0.0
Java,253.31,3759.22,0.07,666.8,0.0
