Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,16.82,145.42,0.12,2.37,0.0
C++,12.61,106.64,0.12,2.37,0.0
C#,30.34,353.28,0.09,32.24,0.0
Rust,29.17,259.51,0.11,2.37,0.0
Java,34.64,450.06,0.08,44.56,0.0
