Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1663.59,31494.49,0.05,244.12,0.0
C++,1119.23,16372.4,0.07,241.87,0.0
C#,529.86,8011.75,0.07,743.72,0.0
Rust,487.29,6962.21,0.07,245.87,0.0
Java,523.98,7820.7,0.07,369.89,0.0
