Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,75.85,52.41,0.0,1.18,2120,1.87,0
n-body,76.62,53.1,0.0,1.18,2123,1.87,0
n-body,73.96,50.95,0.0,1.16,2077,1.87,0
n-body,76.06,52.71,0.0,1.17,2112,1.87,0
n-body,74.07,51.12,0.0,1.15,2077,1.87,0
