Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,84.64,3892.5,0.02,1.87,0.0
C++,92.77,4259.17,0.02,1.87,0.0
C#,101.6,5044.0,0.02,1.87,0.0
Rust,60.68,2978.83,0.02,1.87,0.0
Java,106.92,5151.33,0.02,1.87,0.0
