Language (Energy),Energy (J),Normalized Energy,Language (Time),Time (ms),Normalized Time,Language (Memory),Memory (MB),Normalized Memory,Language (Peak),Peak (MB),Normalized Peak
C,82.38,1.0,C,1101.95,1.0,C,77.95,1.0,C,0.0,
Rust,85.87,1.04,Rust,1130.48,1.03,C++,87.31,1.12,C++,0.0,
C++,117.44,1.43,C++,1889.28,1.71,Rust,108.84,1.4,C#,0.0,
Java,149.43,1.81,Java,2162.87,1.96,C#,396.59,5.09,Rust,0.0,
C#,225.33,2.74,C#,3394.04,3.08,Java,456.79,5.86,Java,0.0,
