Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,0.75,27.32,0.03,0.0,0.0
C++,0.12,3.55,0.03,0.0,0.0
C#,2.55,97.68,0.03,0.0,0.0
Rust,0.21,6.71,0.03,0.0,0.0
Java,1.64,43.45,0.04,0.0,0.0
