Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,195.53,3599.42,0.05,1.87,0.0
C++,203.81,3684.06,0.06,1.87,0.0
C#,420.16,7646.1,0.05,1.87,0.0
Rust,183.52,3629.97,0.05,1.87,0.0
Java,293.89,5261.26,0.06,1.87,0.0
