Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1.02,47.06,0.02,0.0,0.0
C++,1.08,46.97,0.02,0.0,0.0
C#,4.08,178.81,0.02,0.0,0.0
Rust,2.34,105.52,0.02,0.0,0.0
Java,2.74,98.35,0.03,0.0,0.0
