Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,291.26,8269.19,0.04,244.12,0.0
C++,421.99,14770.65,0.03,244.12,0.0
C#,283.3,8514.61,0.03,244.12,0.0
Rust,270.58,7950.0,0.03,244.12,0.0
Java,273.77,7880.16,0.03,244.12,0.0
