Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,30.99,939.9,0.03,148.5,0.0
C++,279.18,11313.84,0.02,148.5,0.0
C#,273.98,5710.94,0.05,148.5,0.0
Rust,23.34,1021.06,0.02,148.5,0.0
Java,161.21,4781.39,0.03,148.5,0.0
