Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
C,14.3,251.72,0.06,244.12,0.0
C++,17.71,325.21,0.05,241.87,0.0
C#,29.92,611.41,0.05,743.72,0.0
Rust,12.62,250.83,0.05,245.87,0.0
Java,28.73,456.9,0.06,369.89,0.0
