Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
C,268.79,2833.9,0.09,1.87,0.0
C++,285.87,3162.62,0.09,3.62,0.0
C#,527.86,6585.97,0.08,30.49,0.0
Rust,289.56,2879.34,0.1,2.0,0.0
Java,371.31,4589.71,0.08,44.35,0.0
