Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
C,17.49,150.94,0.12,2.37,0.0
C++,13.0,113.15,0.11,2.37,0.0
C#,33.59,331.61,0.1,32.24,0.0
Rust,26.77,238.18,0.11,2.37,0.0
Java,38.72,434.11,0.09,44.56,0.0
