Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
C,59.35,501.34,0.12,32.0,0.0
C++,34.58,315.92,0.11,33.5,0.0
C#,166.75,1445.83,0.12,63.58,0.0
Rust,57.09,490.87,0.12,33.75,0.0
Java,123.82,1546.4,0.08,87.23,0.0
