Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
C,54.15,693.77,0.08,131.25,0.0
C++,55.67,695.47,0.08,132.5,0.0
C#,437.21,9435.5,0.05,1658.38,0.0
Rust,61.29,621.5,0.1,403.99,0.0
Java,139.3,1732.74,0.08,2433.12,0.0
