Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
C,145.02,1883.21,0.08,127.37,0.0
C++,130.03,1421.13,0.09,153.46,0.0
C#,171.45,2293.96,0.07,181.91,0.0
Rust,159.08,2315.69,0.07,133.49,0.0
Java,186.42,2343.7,0.08,371.89,0.0
