Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
C,88.83,2284.27,0.04,1.87,0.0
C++,86.69,2167.17,0.04,1.87,0.0
C#,133.62,3603.41,0.04,30.11,0.0
Rust,66.16,1736.65,0.04,1.87,0.0
Java,137.98,3687.73,0.04,42.27,0.0
