Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
C,45.12,609.31,0.07,12.23,0.0
C++,63.98,813.52,0.08,4.25,0.0
C#,113.18,1066.3,0.11,40.74,0.0
Rust,63.4,766.43,0.08,5.74,0.0
Java,64.65,885.64,0.07,50.98,0.0
