Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
C,48.35,709.07,0.07,148.5,0.0
C++,369.42,7989.34,0.05,212.35,0.0
C#,414.42,5172.41,0.08,788.17,0.0
Rust,36.83,874.85,0.04,150.45,0.0
Java,253.93,3788.86,0.07,666.8,0.0
