Language (Energy),Energy (J),Normalized Energy,Language (Time),Time (ms),Normalized Time,Language (Memory),Memory (MB),Normalized Memory,Language (Peak),Peak (MB),Normalized Peak
C,167.86,1.0,C,2356.16,1.0,C,58.47,1.0,C,0.0,
Rust,208.49,1.24,C++,3288.02,1.4,C++,65.48,1.12,C++,0.0,
C++,216.59,1.29,Rust,3402.07,1.44,Rust,81.63,1.4,C#,0.0,
Java,258.19,1.54,Java,3764.09,1.6,C#,297.44,5.09,Rust,0.0,
C#,276.13,1.64,C#,4174.87,1.77,Java,342.59,5.86,Java,0.0,
