Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,55.8,709.54,0.08,131.25,0.0
C++,57.73,736.36,0.08,132.5,0.0
C#,452.92,9483.77,0.05,1658.38,0.0
Rust,106.63,1851.29,0.06,403.99,0.0
Java,266.76,3119.36,0.09,2433.12,0.0
