Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,85.83,2443.35,0.04,0.0,0.0
C++,87.46,2454.3,0.04,0.0,0.0
C#,96.72,2612.93,0.04,0.0,0.0
Rust,114.48,3101.46,0.04,0.0,0.0
Java,191.05,5171.81,0.04,0.0,0.0
