Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,640.89,8968.78,0.07,12.23,0.0
C++,590.91,8208.41,0.07,4.25,0.0
C#,627.8,8778.57,0.07,40.74,0.0
Rust,602.9,8663.06,0.07,5.74,0.0
Java,572.87,7962.36,0.07,50.98,0.0
