Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,146.04,1886.47,0.08,127.37,0.0
C++,134.6,1541.63,0.09,153.46,0.0
C#,181.02,2468.38,0.07,181.91,0.0
Rust,212.59,3546.96,0.06,133.49,0.0
Java,246.08,2916.55,0.08,371.89,0.0
