Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,288.95,2753.5,0.1,1.87,0.0
C++,310.9,3104.19,0.1,3.62,0.0
C#,556.08,6780.93,0.08,30.49,0.0
Rust,377.6,4537.46,0.08,2.0,0.0
Java,433.98,5006.62,0.09,44.35,0.0
