Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,542.9,7044.18,0.08,244.12,0.0
C++,862.32,11698.46,0.07,241.87,0.0
C#,541.81,7566.13,0.07,743.72,0.0
Rust,551.22,7886.03,0.07,245.87,0.0
Java,575.46,8044.08,0.07,369.89,0.0
