Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,569.51,8696.1,0.07,12.23,0.0
C++,567.69,7978.0,0.07,4.25,0.0
C#,568.35,8678.3,0.07,40.74,0.0
Rust,534.86,8166.1,0.07,5.74,0.0
Java,53.69,758.6,0.07,50.98,0.0
