Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,16.5,137.5,0.12,2.37,0.0
C++,12.46,105.6,0.12,2.37,0.0
C#,18.52,283.5,0.07,32.24,0.0
Rust,19.97,305.9,0.07,2.37,0.0
Java,22.36,343.0,0.07,44.56,0.0
