Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,112.76,1724.0,0.07,127.37,0.0
C++,74.98,1129.3,0.07,153.46,0.0
C#,165.77,2505.5,0.07,181.91,0.0
Rust,148.96,2256.2,0.07,133.49,0.0
Java,112.91,1709.8,0.07,371.89,0.0
