Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,215.1,3285.4,0.07,1.87,0.0
C++,240.4,3671.0,0.07,3.62,0.0
C#,455.87,6961.0,0.07,30.49,0.0
Rust,212.75,3249.5,0.07,2.0,0.0
Java,313.81,4791.8,0.07,44.35,0.0
