Language (Energy),Energy (J),Normalized Energy,Language (Time),Time (ms),Normalized Time,Language (Memory),Memory (MB),Normalized Memory,Language (Peak),Peak (MB),Normalized Peak
C,183.23,1.0,C,2977.08,1.0,C,65.01,1.0,C,0.0,
Java,265.73,1.45,Java,4373.42,1.47,Java,528.09,8.12,Java,0.0,
