Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1.08,47.8,0.02,0.0,0.0
C++,1.14,52.0,0.02,0.0,0.0
C#,3.7,163.0,0.02,0.0,0.0
Rust,2.32,105.8,0.02,0.0,0.0
Java,1.99,78.8,0.03,0.0,0.0
