Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,11.82,225.0,0.05,2.37,0.0
C++,7.39,142.2,0.05,2.37,0.0
C#,17.3,326.8,0.05,2.37,0.0
Rust,17.35,298.2,0.06,2.37,0.0
Java,18.27,416.4,0.04,2.37,0.0
