Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,102.9,2756.8,0.04,127.37,0.0
C++,92.02,1681.6,0.05,127.37,0.0
C#,108.61,2911.4,0.04,127.37,0.0
Rust,89.36,2469.4,0.04,127.37,0.0
Java,107.31,1942.6,0.06,127.37,0.0
