Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,402.17,10384.2,0.04,12.23,0.0
C++,339.79,9697.8,0.04,12.23,0.0
C#,394.63,10819.8,0.04,12.23,0.0
Rust,350.41,10160.4,0.03,12.23,0.0
Java,90.99,2495.8,0.04,12.23,0.0
