Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,351.99,9870.4,0.04,244.12,0.0
C++,497.98,17378.2,0.03,244.12,0.0
C#,328.6,10111.4,0.03,244.12,0.0
Rust,322.16,9776.8,0.03,244.12,0.0
Java,310.34,8691.2,0.04,244.12,0.0
