Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
3578.1256000003777;128100808;1990169;56.5;
3564.3898999998346;126670391;1983027;56;
3578.1998000000603;128748022;1990168;56.5;
3573.4166999999434;127500711;1988459;56.5;
3564.622899999842;126341107;1983027;55.5;
3565.7922000000253;126561505;1983516;55;
3562.5538000003435;126459576;1981867;55;
3572.2900000000373;127053569;1986812;54.5;
3564.871799999848;126345624;1982356;55;
3563.755800000392;126328717;1981807;55.5;
3579.381000000052;129029455;1991084;56;
3575.723300000187;127929604;1988642;56;
3575.422899999656;128781164;1988459;56;
3562.415900000371;126329694;1981867;55.5;
3565.224500000011;126398114;1982967;55;
3571.2749000000767;126911784;1986262;55.5;
3563.332399999723;126552227;1981867;55.5;
3577.438000000082;127366557;1989619;56;
3582.979800000321;128439307;1992426;56;
3583.3349999999627;128444068;1992915;56;
3577.8631000001915;127869118;1990290;56;
3567.4481999999844;126415937;1984980;56;
3567.0394999999553;127031535;1984065;56;
3564.003500000108;126255536;1983637;55.5;
3574.5482000000775;127525064;1988826;55.5;
3562.7406999999657;126230207;1981928;56;
3556.3591999998316;125988447;1978572;56;
3573.0900000003166;127131327;1987483;56;
3568.504300000146;126717388;1985224;56;
3575.592800000217;127538736;1989070;56;
3569.0106999999844;126986674;1985224;56;
3565.8571999999695;126575177;1983455;56;
3560.5115000000224;126134443;1980768;56;
3562.5496999998577;126243573;1981868;55.5;
3563.7721000001766;126295331;1982417;55;
3565.659099999815;126599224;1983454;55.5;
3559.6178000001237;126496319;1979670;56;
3566.4508000002243;126463239;1983454;55.5;
3559.4082999997772;126279706;1980220;55.5;
3586.0194000001065;128451148;1994623;56.5;
3562.1088000000454;126791301;1981319;57;
3562.688399999868;126519634;1981257;57;
3563.3265999997966;126878521;1982417;57;
3567.2632999997586;127365457;1984003;56.5;
3572.6398000000045;127271403;1986872;56.5;
3577.0773000000045;128740942;1989619;57;
3563.783100000117;127858499;1982417;57;
3560.584799999837;126735088;1980769;56.5;
3581.754900000058;130100558;1992427;56.5;
3582.5803000000305;130051364;1992365;57;
3569.1941999997944;128124489;1985103;56.5;
3567.5526999998838;127243205;1985102;56;
3563.425899999682;126355572;1982478;56.5;
3582.8221999998204;128431617;1993098;57;
3560.2669999999925;126446881;1980220;56.5;
3559.6048999996856;126255902;1980219;56;
3565.2922999998555;126904521;1982905;57;
3570.8574999999255;127159526;1986873;57.5;
3570.093700000085;127487894;1985712;56.5;
3568.3684000000358;127265055;1984615;56;
3579.68079999974;128359840;1990717;56.5;
3581.2289999998175;129167272;1991877;57;
3580.9273000000976;129007665;1992671;57;
3583.403200000059;128883154;1993647;57;
3629.351600000169;128620154;2018610;56.5;
3568.120199999772;126967143;1984614;56;
3567.2652000002563;127625589;1984065;56;
3569.6746999998577;127706827;1987116;56;
3565.6935999998823;127633767;1983210;56;
3682.3253999999724;130469087;2048030;56;
3562.1459000003524;127453653;1981318;57;
3557.113099999726;126651409;1978511;57;
3583.187100000214;129482639;1992915;55.5;
3562.304599999916;126712933;1981257;56;
3585.906299999915;130000644;1995967;56.5;
3568.4375;127262980;1984736;56;
3564.0849000001326;126605328;1982417;56;
3586.1765000000596;130076693;1994685;57;
3572.6224000002258;127520304;1987605;56;
3564.185099999886;127092631;1982356;56;
3564.3332000002265;126943950;1982417;57.5;
3569.4669000003487;127548929;1985774;57;
3560.9972000001;127083598;1980707;56.5;
3688.05589999957;130630769;2051326;56;
3577.307699999772;128163734;1989619;56.5;
3572.604300000239;128000100;1987361;56.5;
3561.874299999792;126551617;1981318;55.5;
3564.6048999996856;127291239;1983332;56.5;
3559.590199999977;126785625;1980281;56.5;
3576.0843000002205;128203407;1989069;56;
3567.063200000208;126952678;1983454;57;
3570.0359999998473;127208110;1985712;57;
3578.505900000222;128726843;1990779;56.5;
3564.0115000000224;126930522;1982417;55.5;
3565.882900000084;126699078;1983515;56.5;
3565.3811999997124;127810586;1983515;56.5;
3554.651399999857;126805705;1977351;56;
3644.68479999993;129517247;2027461;56.5;
3565.7875999999233;127749795;1983454;56;
3564.339699999895;127047099;1982417;56;
3574.948900000192;128368996;1988459;57;
3573.4819999998435;128833288;1987971;56.5;
3577.0721999998204;129217809;1989619;56.5;
3581.6696999999695;129847018;1992426;56;
3564.6748999999836;127133037;1982966;56;
3553.8560999999754;126915629;1976802;56.5;
3563.556199999992;126771160;1982417;56.5;
3561.5195000004023;126626263;1981257;56.5;
3561.3052000002936;126955547;1981562;55.5;
3584.7718000002205;129492161;1993587;56.5;
3565.061600000132;126662396;1982966;56.5;
3586.784800000023;127385538;1995173;56;
3573.689799999818;127715249;1988093;56;
3567.216200000141;127051921;1984065;56;
3561.7299000001512;126549847;1980708;57;
3563.596700000111;127869424;1981806;57;
3566.594800000079;127129374;1983516;57;
3564.7474000002258;127019572;1982356;57;
3568.605400000233;126911052;1984553;56.5;
3555.310300000012;126690716;1977350;56;
3563.3859999999404;126533978;1981807;56;
3559.2458000001498;126581158;1979609;56.5;
3562.5455999998376;126732524;1981807;56.5;
3577.219400000293;129394139;1989619;56;
3580.8875999995507;129194616;1991267;57.5;
3599.586799999699;130227694;2001826;57.5;
3573.399199999869;128049050;1987360;57;
3581.2352999998257;130164217;1992366;57.5;
3562.0346999997273;126842022;1981318;57.5;
3564.2347999997437;127152934;1982356;56.5;
3563.2974000000395;126484113;1981806;56.5;
